maxD_in,tOff_in,sdD_in,constant_in
10,1000,1.0,0.005
10,1000,1.0,0.005555555555555556
10,1000,1.0,0.006111111111111111
10,1000,1.0,0.006666666666666666
10,1000,1.0,0.007222222222222222
10,1000,1.0,0.0077777777777777776
10,1000,1.0,0.008333333333333333
10,1000,1.0,0.008888888888888889
10,1000,1.0,0.009444444444444445
10,1000,1.0,0.01
10,1000,10.75,0.005
10,1000,10.75,0.005555555555555556
10,1000,10.75,0.006111111111111111
10,1000,10.75,0.006666666666666666
10,1000,10.75,0.007222222222222222
10,1000,10.75,0.0077777777777777776
10,1000,10.75,0.008333333333333333
10,1000,10.75,0.008888888888888889
10,1000,10.75,0.009444444444444445
10,1000,10.75,0.01
10,1000,20.5,0.005
10,1000,20.5,0.005555555555555556
10,1000,20.5,0.006111111111111111
10,1000,20.5,0.006666666666666666
10,1000,20.5,0.007222222222222222
10,1000,20.5,0.0077777777777777776
10,1000,20.5,0.008333333333333333
10,1000,20.5,0.008888888888888889
10,1000,20.5,0.009444444444444445
10,1000,20.5,0.01
10,1000,30.25,0.005
10,1000,30.25,0.005555555555555556
10,1000,30.25,0.006111111111111111
10,1000,30.25,0.006666666666666666
10,1000,30.25,0.007222222222222222
10,1000,30.25,0.0077777777777777776
10,1000,30.25,0.008333333333333333
10,1000,30.25,0.008888888888888889
10,1000,30.25,0.009444444444444445
10,1000,30.25,0.01
10,1000,40.0,0.005
10,1000,40.0,0.005555555555555556
10,1000,40.0,0.006111111111111111
10,1000,40.0,0.006666666666666666
10,1000,40.0,0.007222222222222222
10,1000,40.0,0.0077777777777777776
10,1000,40.0,0.008333333333333333
10,1000,40.0,0.008888888888888889
10,1000,40.0,0.009444444444444445
10,1000,40.0,0.01
10,2000,1.0,0.005
10,2000,1.0,0.005555555555555556
10,2000,1.0,0.006111111111111111
10,2000,1.0,0.006666666666666666
10,2000,1.0,0.007222222222222222
10,2000,1.0,0.0077777777777777776
10,2000,1.0,0.008333333333333333
10,2000,1.0,0.008888888888888889
10,2000,1.0,0.009444444444444445
10,2000,1.0,0.01
10,2000,10.75,0.005
10,2000,10.75,0.005555555555555556
10,2000,10.75,0.006111111111111111
10,2000,10.75,0.006666666666666666
10,2000,10.75,0.007222222222222222
10,2000,10.75,0.0077777777777777776
10,2000,10.75,0.008333333333333333
10,2000,10.75,0.008888888888888889
10,2000,10.75,0.009444444444444445
10,2000,10.75,0.01
10,2000,20.5,0.005
10,2000,20.5,0.005555555555555556
10,2000,20.5,0.006111111111111111
10,2000,20.5,0.006666666666666666
10,2000,20.5,0.007222222222222222
10,2000,20.5,0.0077777777777777776
10,2000,20.5,0.008333333333333333
10,2000,20.5,0.008888888888888889
10,2000,20.5,0.009444444444444445
10,2000,20.5,0.01
10,2000,30.25,0.005
10,2000,30.25,0.005555555555555556
10,2000,30.25,0.006111111111111111
10,2000,30.25,0.006666666666666666
10,2000,30.25,0.007222222222222222
10,2000,30.25,0.0077777777777777776
10,2000,30.25,0.008333333333333333
10,2000,30.25,0.008888888888888889
10,2000,30.25,0.009444444444444445
10,2000,30.25,0.01
10,2000,40.0,0.005
10,2000,40.0,0.005555555555555556
10,2000,40.0,0.006111111111111111
10,2000,40.0,0.006666666666666666
10,2000,40.0,0.007222222222222222
10,2000,40.0,0.0077777777777777776
10,2000,40.0,0.008333333333333333
10,2000,40.0,0.008888888888888889
10,2000,40.0,0.009444444444444445
10,2000,40.0,0.01
10,3000,1.0,0.005
10,3000,1.0,0.005555555555555556
10,3000,1.0,0.006111111111111111
10,3000,1.0,0.006666666666666666
10,3000,1.0,0.007222222222222222
10,3000,1.0,0.0077777777777777776
10,3000,1.0,0.008333333333333333
10,3000,1.0,0.008888888888888889
10,3000,1.0,0.009444444444444445
10,3000,1.0,0.01
10,3000,10.75,0.005
10,3000,10.75,0.005555555555555556
10,3000,10.75,0.006111111111111111
10,3000,10.75,0.006666666666666666
10,3000,10.75,0.007222222222222222
10,3000,10.75,0.0077777777777777776
10,3000,10.75,0.008333333333333333
10,3000,10.75,0.008888888888888889
10,3000,10.75,0.009444444444444445
10,3000,10.75,0.01
10,3000,20.5,0.005
10,3000,20.5,0.005555555555555556
10,3000,20.5,0.006111111111111111
10,3000,20.5,0.006666666666666666
10,3000,20.5,0.007222222222222222
10,3000,20.5,0.0077777777777777776
10,3000,20.5,0.008333333333333333
10,3000,20.5,0.008888888888888889
10,3000,20.5,0.009444444444444445
10,3000,20.5,0.01
10,3000,30.25,0.005
10,3000,30.25,0.005555555555555556
10,3000,30.25,0.006111111111111111
10,3000,30.25,0.006666666666666666
10,3000,30.25,0.007222222222222222
10,3000,30.25,0.0077777777777777776
10,3000,30.25,0.008333333333333333
10,3000,30.25,0.008888888888888889
10,3000,30.25,0.009444444444444445
10,3000,30.25,0.01
10,3000,40.0,0.005
10,3000,40.0,0.005555555555555556
10,3000,40.0,0.006111111111111111
10,3000,40.0,0.006666666666666666
10,3000,40.0,0.007222222222222222
10,3000,40.0,0.0077777777777777776
10,3000,40.0,0.008333333333333333
10,3000,40.0,0.008888888888888889
10,3000,40.0,0.009444444444444445
10,3000,40.0,0.01
10,4000,1.0,0.005
10,4000,1.0,0.005555555555555556
10,4000,1.0,0.006111111111111111
10,4000,1.0,0.006666666666666666
10,4000,1.0,0.007222222222222222
10,4000,1.0,0.0077777777777777776
10,4000,1.0,0.008333333333333333
10,4000,1.0,0.008888888888888889
10,4000,1.0,0.009444444444444445
10,4000,1.0,0.01
10,4000,10.75,0.005
10,4000,10.75,0.005555555555555556
10,4000,10.75,0.006111111111111111
10,4000,10.75,0.006666666666666666
10,4000,10.75,0.007222222222222222
10,4000,10.75,0.0077777777777777776
10,4000,10.75,0.008333333333333333
10,4000,10.75,0.008888888888888889
10,4000,10.75,0.009444444444444445
10,4000,10.75,0.01
10,4000,20.5,0.005
10,4000,20.5,0.005555555555555556
10,4000,20.5,0.006111111111111111
10,4000,20.5,0.006666666666666666
10,4000,20.5,0.007222222222222222
10,4000,20.5,0.0077777777777777776
10,4000,20.5,0.008333333333333333
10,4000,20.5,0.008888888888888889
10,4000,20.5,0.009444444444444445
10,4000,20.5,0.01
10,4000,30.25,0.005
10,4000,30.25,0.005555555555555556
10,4000,30.25,0.006111111111111111
10,4000,30.25,0.006666666666666666
10,4000,30.25,0.007222222222222222
10,4000,30.25,0.0077777777777777776
10,4000,30.25,0.008333333333333333
10,4000,30.25,0.008888888888888889
10,4000,30.25,0.009444444444444445
10,4000,30.25,0.01
10,4000,40.0,0.005
10,4000,40.0,0.005555555555555556
