Age,AgePlus,AgeMinus,TiO2,TiO2SD
3.88,0.04,0.04,1.49,0.36
3.8,0.03,0.05,1.5,0.28
3.78,0.02,0.05,0.52,0.14
3.75,0.04,0.01,0.97,0.25
3.73,0.05,0.06,0.71,0.21
3.52,0.06,0.09,1.44,0.38
3.72,0.03,0.07,0.71,0.23
3.71,0.02,0.07,0.66,0.18
3.7,0.05,0.06,1.67,0.42
3.7,0.05,0.05,2.13,0.4
3.69,0.07,0.07,2.72,0.74
3.68,0.07,0.12,0.68,0.19
3.67,0.04,0.05,1.2,0.3
3.67,0.03,0.01,1.98,0.45
3.66,0.05,0.03,0.76,0.24
3.66,0.03,0.04,1.32,0.34
3.64,0.05,0.11,1.09,0.31
3.64,0.03,0.14,0.9,0.25
3.1,0.23,0.47,0.66,0.18
3.59,0.06,0.17,0.93,0.32
3.59,0.06,0.17,0.73,0.2
3.57,0.05,0.07,2.24,0.4
3.54,0.11,0.13,0.94,0.25
3.53,0.06,0.07,0.68,0.2
3.51,0.07,0.19,3.27,0.59
3.38,0.1,0.04,1.63,0.39
3.35,0.07,0.46,1.18,0.21
3.27,0.1,0.17,1.1,0.33
3.27,0.13,0.18,0.62,0.17
3.08,0.32,0.82,3.8,0.64
3.49,0.08,0.1,4.75,0.77
3.45,0.09,0.06,6.1,0.75
3.41,0.08,0.08,3.29,0.66
3.36,0.1,0.11,3.94,0.55
3.32,0.1,0.14,5.38,0.98
3.77,0.03,0.04,1.15,0.27
3.74,0.03,0.06,0.56,0.15
3.72,0.04,0.06,0.66,0.16
3.72,0.05,0.1,1.51,0.39
3.71,0.05,0.07,0.64,0.17
3.64,0.04,0.06,1.54,0.36
3.63,0.03,0.03,1.2,0.37
3.62,0.04,0.03,0.58,0.17
3.62,0.04,0.06,0.8,0.2
3.6,0.07,0.13,1.42,0.33
3.58,0.06,0.06,0.92,0.27
3.56,0.03,0.05,0.68,0.18
3.56,0.03,0.04,1.05,0.25
3.56,0.04,0.06,0.96,0.29
3.54,0.06,0.05,0.73,0.21
3.54,0.06,0.08,1.39,0.39
3.53,0.05,0.07,0.79,0.2
3.53,0.07,0.1,0.67,0.19
3.51,0.06,0.09,0.93,0.24
n.d.,n.d.,n.d.,n.d.,n.d.
3.49,0.08,0.09,0.78,0.17
3.48,0.05,0.1,0.66,0.53
3.48,0.07,0.1,1.12,0.32
3.47,0.06,0.1,0.74,0.26
3.47,0.09,0.1,2.02,0.48
3.46,0.11,0.1,1.39,0.4
3.46,0.07,0.11,0.89,0.26
3.45,0.07,0.11,1.5,0.48
3.43,0.09,0.08,0.74,0.18
3.43,0.09,0.12,1.56,0.56
3.42,0.06,0.08,2.4,0.54
3.39,0.1,0.16,0.67,0.17
3.22,0.21,0.2,1.84,0.5
3.17,0.21,0.11,0.99,0.21
