Ti_age,Ti_ageplus,Ti_ageminus,Ti_content,Ti_content_SD
3880,40,40,1.49,0.36
3800,30,50,1.5,0.28
3780,20,50,0.52,0.14
3750,40,10,0.97,0.25
3730,50,60,0.71,0.21
3520,60,90,1.44,0.38
3720,30,70,0.71,0.23
3710,20,70,0.66,0.18
3700,50,60,1.67,0.42
3700,50,50,2.13,0.4
3690,70,70,2.72,0.74
3680,70,120,0.68,0.19
3670,40,50,1.2,0.3
3670,30,10,1.98,0.45
3660,50,30,0.76,0.24
3660,30,40,1.32,0.34
3640,50,110,1.09,0.31
3640,30,140,0.9,0.25
3100,230,470,0.66,0.18
3590,60,170,0.93,0.32
3590,60,170,0.73,0.2
3570,50,70,2.24,0.4
3540,110,130,0.94,0.25
3530,60,70,0.68,0.2
3510,70,190,3.27,0.59
3380,100,40,1.63,0.39
3350,70,460,1.18,0.21
3270,100,170,1.1,0.33
3270,130,180,0.62,0.17
3080,320,820,3.8,0.64
3490,80,100,4.75,0.77
3450,90,60,6.1,0.75
3410,80,80,3.29,0.66
3360,100,110,3.94,0.55
3320,100,140,5.38,0.98
3770,30,40,1.15,0.27
3740,30,60,0.56,0.15
3720,40,60,0.66,0.16
3720,50,100,1.51,0.39
3710,50,70,0.64,0.17
3640,40,60,1.54,0.36
3630,30,30,1.2,0.37
3620,40,30,0.58,0.17
3620,40,60,0.8,0.2
3600,70,130,1.42,0.33
3580,60,60,0.92,0.27
3560,30,50,0.68,0.18
3560,30,40,1.05,0.25
3560,40,60,0.96,0.29
3540,60,50,0.73,0.21
3540,60,80,1.39,0.39
3530,50,70,0.79,0.2
3530,70,100,0.67,0.19
3510,60,90,0.93,0.24
3490,80,90,0.78,0.17
3480,50,100,0.66,0.53
3480,70,100,1.12,0.32
3470,60,100,0.74,0.26
3470,90,100,2.02,0.48
3460,110,100,1.39,0.4
3460,70,110,0.89,0.26
3450,70,110,1.5,0.48
3430,90,80,0.74,0.18
3430,90,120,1.56,0.56
3420,60,80,2.4,0.54
3390,100,160,0.67,0.17
3220,210,200,1.84,0.5
3170,210,110,0.99,0.21
3110,170,120,0.9,0.23
3020,120,330,1.08,0.3
2610,500,340,0.88,0.22
3700,20,50,2.87,0.51
3690,30,30,2.59,0.51
3640,50,60,3.08,0.61
3620,20,20,2.69,0.41
3530,20,30,2.69,0.39
3460,20,30,6.02,0.93
3450,20,40,4.28,0.64
3450,50,40,8.73,1.15
3420,30,40,2.44,0.4
3330,80,130,4.75,0.62
3100,100,130,6.98,0.97
3570,70,20,6.59,1.05
3550,40,40,3.59,0.56
3550,50,70,5.07,0.74
2040,110,120,6.62,0.85
3520,60,80,1.57,0.41
3500,60,60,2.16,0.45
3470,50,60,6.35,1.17
3450,50,60,2.8,0.47
3410,60,80,3.54,0.53
3400,60,40,2.43,0.5
3390,70,80,1.66,0.45
3350,80,50,2.08,0.41
3330,50,50,3.98,0.51
3330,40,50,1.78,0.43
3310,50,60,4.48,0.6
3300,50,60,2.99,0.56
3260,80,70,1.24,0.35
3110,100,130,1.35,0.23
3100,90,140,2.12,0.38
3010,120,160,6.78,0.78
3010,120,160,1.47,0.41
1980,80,90,6.79,1.12
2680,200,220,2.67,0.5
2480,180,200,2.27,0.49
2550,180,220,1.45,0.33
1980,100,110,6.41,1.04
2440,180,180,1.33,0.41
2010,70,70,6.81,1.09
1860,80,80,7.6,0.92
1960,130,140,5.59,0.67
3540,70,110,3.48,0.55
3140,150,120,4.01,0.64
2960,130,160,5.22,0.83
2930,140,170,4.62,0.58
2570,290,250,6.32,1.79
3470,40,50,2.58,0.57
3490,50,50,2.85,0.74
3900,20,10,2.22,0.57
3670,50,60,3.18,0.7
3630,30,50,5.66,1.06
3630,50,100,4.09,0.62
3630,50,50,3.49,0.55
3600,50,30,4.99,0.93
3530,70,80,3.68,0.63
3500,100,120,5.08,1.09
3490,70,90,2.13,0.36
3480,70,90,3.12,0.65
3480,60,60,5.28,0.85
3380,70,100,2.44,0.43
3370,70,90,4.38,0.72
3320,90,130,6.81,1.15
3250,110,180,3.87,0.81
3160,80,110,4.64,0.72
3090,100,140,3.18,0.42
2770,310,170,4.1,0.54
3590,50,90,3.29,1
3570,80,80,4.81,0.73
3530,90,70,7.64,1.03
3480,70,100,2.42,0.42
3480,80,60,2.38,0.37
3480,100,140,7.25,0.8
3480,70,140,3,0.52
3470,80,90,5.85,0.78
3470,80,60,3.18,0.65
3440,70,70,1.3,0.33
3430,90,80,7.7,0.89
3420,100,70,9.42,1.34
3400,110,150,1.43,0.41
3360,50,90,4.5,0.78
3340,80,110,6.19,0.99
3330,80,50,3.87,0.69
3320,80,140,5.66,0.76
3320,80,60,4.93,0.94
3310,50,60,5.84,0.97
3120,180,450,8.16,1.07
3120,160,130,2.58,0.53
3080,180,140,4.38,0.99
3070,110,140,4.82,0.69
