paleointensity,weighting,TiO,K2O,MgO,Sm,Nd
30,0.01,0.05,0.03,19.09,0.61,2.3
0,0.020408163,1.87, 0.08,9.18,3.09,9.3
0,0.000177778,2.76,0.09,8.67,4,13
0,0.00073046,3,0.05,11.65,3.6,9.6
0,0.0625,3.2,0.062,14,4.77,16.1
0,0.020408163,3.3,0.064,12.5,4.53,16
0,0.00073046,3.4,0.07,8.7,4.8,13.2
0,0.020408163,4.82,0.14,12.33,5.14,13.9
0,0.0625,5.16,0.07,13,6.4,19
51,0.005102041,9.98,0.084,7,13.6,36.5
95,1.23115E-05,10.5,0.048,7,7.8,22
66,0.00073046,10.7,0.07,8,9.94,31
57,0.003460208,11.41,0.09,7.26,2.39,11.3
69,0.00390625,11.5,0.36,7.54,22.5,64.3
69,0.00390625,11.8,0.31,8.5,20.9,59.5
11,0.111111111,11.9,0.44,7.7,22.7,64.5
61,0.00147929,12.75,0.29,8.34,23,67
111,9.01803E-06,12.98,0.07,8.83,10.9
28,0.000141723,13.1,0.1,10.8,9.76,22.8
42,6.29882E-05,13.75,0.07,11.95,7.53,20
54,0.04,12,0.06,8.1,14.8,40
